3:36:18 PM150,73.34852,224.022,102.7048,-0.7636833,-0.1553604,-0.6266187,70.01568,185.793,121.6375,49.47125,193.6144,131.2553,49.47125,193.6144,131.2553,33.95176,221.8113,109.1516,26.8793,236.9266,88.34903,24.18107,243.49,75.96409,66.85426,199.8418,132.9337,67.19981,250.8247,106.2494,46.68534,257.8613,80.58028,32.07104,249.3916,72.08839,25.10958,242.0267,70.46024,73.92909,197.1882,126.9616,78.93121,242.3561,96.74783,53.34135,252.2379,70.88439,33.89205,246.2409,61.91286,24.29304,240.7605,59.47906,79.25105,192.8689,120.2265,88.13548,229.3538,88.75397,60.89005,234.5668,67.49722,41.19226,227.2724,62.17809,31.8863,221.8623,61.47071,79.99718,185.663,111.774,93.26012,215.7128,80.49798,72.12959,223.9087,64.64687,57.323,221.5914,61.57417,47.48431,217.3298,62.23343,1,0,8.803191,0.5584995,-1.001267,0.6000001
3:36:18 PM620,45.90222,222.0759,75.73882,-0.735468,-0.381045,-0.5602602,49.23639,187.5885,100.8488,27.80698,193.4985,109.8822,27.80698,193.4985,109.8822,6.997805,215.0608,84.85144,-2.319388,224.5109,61.71877,-5.961152,228.1389,48.38115,43.93103,202.6513,109.7894,35.42374,247.737,75.05714,13.43918,246.5871,49.6678,0.2012645,234.9962,42.75163,-5.522123,226.5512,42.36492,51.26838,200.2031,104.0508,48.27333,239.7908,66.6091,18.79116,235.7965,43.45192,1.446921,222.3203,39.94514,-5.694301,215.3921,39.68387,57.14465,195.7225,97.90801,59.40654,227.2843,60.50021,31.91487,225.369,39.00886,13.60519,214.2585,35.72005,5.235348,206.7097,37.00481,58.96713,187.4034,90.73871,66.62034,213.4518,54.40703,44.60804,215.5401,37.79291,30.32069,210.4496,35.79183,21.24931,204.8766,37.67319,1,0,8.803191,0.5584995,-1.001267,0.6000001
3:36:18 PM930,21.79165,206.6956,41.96271,-0.630648,-0.5132493,-0.5821154,26.77497,175.0199,70.29697,4.055457,178.9285,76.95261,4.055457,178.9285,76.95261,-17.48252,196.6124,49.6051,-25.7552,203.1969,25.12157,-28.26348,204.9556,11.00843,18.93992,189.9763,77.36008,8.500462,230.7175,38.08429,-10.88045,224.6229,11.31684,-22.04181,211.1905,4.076553,-26.77483,202.1642,3.693106,27.0147,188.0055,72.49437,22.91926,223.7764,31.48575,-4.102278,212.6225,7.677444,-18.79161,196.0692,5.454984,-24.66341,187.661,6.35047,33.91948,183.8106,67.29176,35.95523,212.2997,27.48185,10.63768,204.0415,4.850845,-5.555578,189.8204,2.605563,-12.68001,181.8036,4.071745,37.35915,175.2334,61.08475,45.26886,199.0261,23.29026,25.19106,197.0222,4.374724,11.79957,190.0364,1.943166,3.323641,183.8281,3.621735,1,0,8.803191,0.5584995,-1.001267,0.6000001
3:36:18 PM1199,11.74955,200.3008,26.46864,-0.5616794,-0.5776831,-0.5922825,15.9775,170.6781,57.05674,-7.329516,173.8689,61.78461,-7.329516,173.8689,61.78461,-28.1642,189.3191,32.60075,-36.1263,194.9899,7.787779,-38.46748,196.5408,-6.175476,6.979185,185.6342,62.56261,-2.259813,223.367,20.10911,-19.32236,214.669,-7.503867,-29.31766,200.3603,-14.76899,-33.64902,191.1246,-15.05056,15.47694,183.769,58.43094,12.90792,216.7512,15.03033,-11.64695,203.2058,-10.16864,-25.33113,185.7943,-12.24522,-30.82852,176.7116,-10.58253,22.93282,179.609,54.02136,26.70292,205.7032,12.72381,4.395376,196.6027,-12.59208,-11.06736,181.7433,-15.69162,-18.04861,172.7385,-13.19403,27.20619,170.8501,48.64112,36.88336,192.6706,10.07558,19.5126,188.8072,-11.09661,6.538816,181.3226,-14.21237,-2.059474,174.8945,-12.32862,1,0,8.803191,0.5584995,-1.001267,0.6000001
3:36:18 PM1451,5.465164,198.6828,20.97296,-0.5219585,-0.6276302,-0.5776154,10.67568,170.4953,52.74278,-12.83759,172.6693,57.00321,-12.83759,172.6693,57.00321,-33.2917,185.6901,26.39965,-41.82844,190.6518,1.625817,-44.65852,191.9441,-12.07012,0.8446441,185.1705,57.53399,-9.58278,220.7463,13.52202,-25.74288,210.1246,-13.96056,-34.88951,195.0849,-20.85784,-38.76739,185.6409,-20.91183,9.492793,183.5862,53.60197,5.981227,214.7255,8.924803,-17.08396,200.4143,-17.23993,-29.94917,182.3724,-19.16449,-34.97672,172.4539,-16.32932,17.22089,179.648,49.46588,20.35216,204.3165,7.24895,-0.5591657,194.097,-18.82051,-15.25914,178.4679,-21.84503,-21.85114,169.0444,-18.81835,22.01897,170.921,44.49148,31.21939,191.7295,5.255755,15.4446,186.1148,-16.75702,2.795006,178.0912,-19.86455,-5.772727,171.5682,-17.61005,1,0,8.803191,0.5584995,-1.001267,0.6000001
3:36:19 PM1732,2.93168,194.1021,14.57147,-0.5284013,-0.6491883,-0.5471258,7.666635,167.4938,47.74652,-15.82914,170.1884,51.80099,-15.82914,170.1884,51.80099,-35.63346,181.2312,20.01521,-44.53667,185.2062,-4.807538,-47.75426,186.3491,-18.31397,-1.983985,182.5203,51.75126,-11.7984,215.9551,5.95595,-28.02328,204.1509,-21.00097,-37.35171,188.9197,-27.19897,-41.37429,179.5378,-26.84579,6.654841,180.6258,47.93773,3.69889,209.506,1.729154,-19.30584,194.9043,-24.32814,-32.26451,176.8391,-24.99823,-37.26329,167.1182,-21.35602,14.34311,176.3824,44.03595,17.93569,198.8382,0.6373876,-2.923341,187.6378,-25.06845,-17.75977,171.9476,-26.8584,-24.34649,162.9909,-23.38266,19.04077,167.3526,39.52796,28.64123,186.0252,-0.6746038,13.44971,178.8892,-22.65702,0.5468529,171.0142,-25.01196,-8.203529,165.2656,-22.35509,1,0,8.803191,0.5584995,-1.001267,0.6000001
3:36:19 PM2092,3.186875,182.4622,8.390877,-0.5293664,-0.7040539,-0.4733703,7.776124,159.6618,44.30865,-15.71887,162.8545,47.98866,-15.71887,162.8545,47.98866,-34.97761,169.8368,14.74953,-44.23956,171.3267,-10.21511,-47.80124,171.2979,-23.61997,-1.835508,175.0659,46.61012,-11.45897,203.2738,-2.615129,-27.67932,188.6028,-28.12833,-37.04704,172.8186,-32.65953,-41.11778,163.5402,-31.3327,6.80466,172.7376,43.04813,4.026284,196.3534,-6.070213,-18.76263,179.7916,-31.12575,-31.56542,161.703,-29.22332,-36.33984,152.485,-24.02622,14.48717,168.0677,39.65535,18.23202,185.5895,-5.946943,-2.163153,172.1015,-30.91594,-16.99704,156.3156,-30.40318,-23.48119,147.9696,-25.61329,19.16541,158.5823,36.18126,28.90029,172.6793,-5.813865,14.34304,162.7997,-27.15421,1.271372,154.9111,-28.12763,-7.477312,149.9563,-24.59994,1,0,8.803191,0.5584995,-1.001267,0.6000001
3:36:19 PM2412,3.340763,178.6663,6.090141,-0.5180616,-0.7259354,-0.4523605,8.418679,156.9433,42.60499,-15.11973,159.8237,46.26527,-15.11973,159.8237,46.26527,-34.0992,165.1802,12.56692,-43.56739,165.9445,-12.35307,-47.53376,165.7239,-25.61139,-1.456755,172.2341,44.51214,-11.69593,198.9085,-5.438375,-27.7239,183.2549,-30.48493,-36.82594,167.1963,-34.57135,-40.74083,157.8841,-33.00856,7.21425,169.9606,40.98984,3.900126,192.1683,-8.748218,-18.56217,174.8642,-33.59621,-30.80765,156.5562,-30.49889,-35.1188,147.5921,-24.69223,14.96936,165.3347,37.70361,18.29328,181.6623,-8.372082,-1.675031,167.3064,-33.20179,-16.12478,151.255,-31.45226,-22.20995,143.1786,-26.06416,19.80517,155.8411,34.47675,29.18729,168.9495,-7.916986,15.08947,157.9853,-29.035,2.038246,150.0038,-28.95607,-6.387133,145.4005,-24.82636,1,0,8.803191,0.5584995,-1.001267,0.5826694
3:36:19 PM2754,2.752622,177.0169,3.207062,-0.4700841,-0.7773918,-0.4179509,8.001839,157.8228,41.08901,-15.73355,159.7132,44.057,-15.73355,159.7132,44.057,-33.71824,161.6413,9.45463,-42.63919,160.3946,-15.64714,-46.38132,159.2295,-28.95979,-2.664515,172.6766,41.83938,-12.98196,195.733,-9.865294,-27.596,177.7941,-34.23511,-35.78809,161.0785,-37.53699,-39.28305,151.6841,-35.51723,6.192783,170.6406,38.65124,3.006275,189.6105,-12.41759,-17.80756,170.0729,-37.04428,-29.03969,151.405,-32.56362,-32.79533,142.8094,-25.92201,14.24657,166.2269,35.8235,17.88962,179.8948,-11.08622,-0.4320163,163.2607,-35.76336,-14.08437,146.6736,-32.93761,-19.76605,138.815,-26.82339,19.62575,156.8152,33.29126,29.38682,167.8054,-9.615861,16.60743,154.8559,-30.44683,3.91455,146.3457,-29.73085,-4.231425,141.8093,-25.10086,1,0,8.803191,0.5584995,-1.001267,0.5500848
3:36:19 PM3107,2.652159,175.0407,1.980547,-0.4449251,-0.8008409,-0.4008684,7.346662,157.3022,40.63691,-16.48537,158.8233,42.97598,-16.48537,158.8233,42.97598,-33.62864,159.1811,7.897906,-42.17779,157.0807,-17.27623,-45.55536,155.31,-30.66998,-3.615762,171.958,40.60502,-13.11474,192.9676,-12.11865,-26.79202,173.8909,-36.16597,-34.5826,156.9112,-39.0681,-37.95066,147.5227,-36.81125,5.35336,169.9875,37.70099,3.044367,187.0783,-14.07362,-16.6613,166.5326,-38.79147,-27.6321,147.8318,-33.82671,-31.28881,139.4712,-26.69717,13.55591,165.638,35.22305,18.07346,177.7136,-12.04614,1.241889,160.3877,-37.30182,-12.26507,143.6706,-34.54396,-17.99243,135.9042,-27.78682,19.17318,156.2518,33.15588,29.75987,165.9147,-9.87473,17.88222,152.0595,-30.65661,5.340504,143.3288,-29.93176,-2.827761,138.828,-25.16295,1,0,8.803191,0.5584995,-1.001267,0.5094233
