12:05:15 PM60,54.94201,66.88821,42.7574,-0.1405692,-0.8912602,-0.4311561,65.92721,46.10581,92.15564,36.40401,37.91158,93.67072,36.40401,37.91158,93.67072,0.5961819,58.68457,65.7772,-10.04288,66.87778,34.43726,-6.56681,66.64892,16.7564,46.56352,59.23145,91.63825,29.17788,82.43775,24.02396,23.85452,112.1771,-6.521106,18.62846,106.297,-29.37543,17.03634,94.17664,-34.23767,58.3702,60.69569,88.46399,51.25008,82.13866,22.45584,53.86478,114.3111,-13.3405,48.26009,108.6398,-40.63617,44.18755,96.18195,-46.76737,70.22477,58.95174,85.75163,73.19676,77.03428,25.85205,79.91597,109.2227,-4.397281,75.12424,106.2994,-31.52465,70.19992,94.64542,-38.37394,81.04622,50.03057,83.32948,92.12121,67.58882,29.18766,105.0466,90.931,5.985313,102.8804,88.28921,-13.27281,96.6827,78.01882,-18.95277,55.17089,20.45992,6.747448,0,112.8243,40.96893
12:05:16 PM627,13.20946,107.9712,40.50853,-0.1916828,-0.9814396,0.005828607,35.26566,108.3625,90.56989,7.099755,102.9238,101.4402,7.099755,102.9238,101.4402,-33.6184,102.4227,72.56895,-48.79383,91.82638,43.93445,-62.87476,91.22157,32.96095,15.70512,121.0917,88.8799,-16.56144,115.8824,22.9692,-28.92662,126.4136,-16.80473,-37.70799,111.6069,-33.77117,-40.49871,99.83762,-33.51367,26.49983,120.5746,82.97868,4.670073,113.9014,17.05066,-1.552332,123.2549,-29.82229,-11.55719,106.2507,-50.30135,-15.66665,94.62541,-51.25815,37.57218,117.3097,78.77475,27.03028,109.5371,17.51935,25.25518,121.5786,-25.47039,15.96763,108.1272,-47.83561,10.83147,96.84467,-50.42746,47.99478,107.6536,77.94626,46.60665,101.3286,20.32377,52.00559,108.5119,-13.87456,46.68033,98.7009,-29.93486,40.48305,88.4885,-32.06542,53.77369,20.76411,7.031124,0,112.8243,40.96893
12:05:16 PM1014,12.49505,111.4177,44.39278,-0.2356213,-0.9669112,0.09780278,33.09643,115.9707,94.86675,4.413625,112.8447,105.2871,4.413625,112.8447,105.2871,-34.46301,110.7387,74.04712,-47.38411,97.17863,45.55714,-60.73989,95.11076,33.70847,14.1836,129.2677,91.26162,-16.37362,118.7422,25.17111,-27.68677,120.9012,-16.21874,-36.12816,102.386,-29.26257,-38.67149,92.05789,-27.11713,25.10962,127.7038,85.80326,4.909158,115.2858,20.1884,-2.89914,114.7156,-27.37192,-14.31832,92.64846,-41.202,-17.94494,81.92198,-38.29611,36.14072,123.5695,82.31729,27.02822,110.0621,21.83355,23.04583,112.5602,-22.59805,11.66815,93.61906,-39.30679,6.868841,82.67872,-37.97525,46.13901,113.4526,82.80692,46.12766,101.371,26.09431,48.63513,103.4789,-9.112824,41.12904,91.65816,-22.76843,35.75091,81.58624,-23.06839,51.10163,17.09038,7.224833,0,112.8243,40.96893
12:05:16 PM1121,-9.668349,116.8763,11.32997,-0.304466,-0.9311638,-0.2005853,25.51966,101.6078,50.33566,1.130267,94.29812,67.44667,1.130267,94.29812,67.44667,-47.67511,94.45927,56.96926,-81.63654,96.89888,55.18602,-96.1921,100.3695,54.99278,8.050256,115.0171,58.24219,-41.9392,130.7638,6.612936,-54.63971,90.80634,-2.760667,-42.65539,78.7255,14.40435,-36.08856,86.72037,21.26364,16.5782,115.8476,49.39902,-23.67787,129.7972,-5.849809,-44.36458,86.73968,-12.2834,-32.34669,73.07778,9.569561,-22.60212,78.13535,19.62194,25.50368,113.5431,41.27779,-2.836529,124.625,-13.47433,-24.26226,85.87639,-19.45325,-15.05875,75.53992,4.543703,-7.445363,79.77573,14.57074,33.96004,104.1658,34.71177,15.53389,115.2014,-19.14893,-5.735639,87.99937,-26.76006,-5.386055,80.2569,-8.802369,-0.30573,85.65299,0.5575186,48.2549,14.51018,7.278219,0,112.8243,40.96893
12:05:16 PM1239,-11.92687,112.6832,12.05483,-0.1458077,-0.9798437,-0.1365515,28.18492,106.0227,48.65335,6.82315,95.48535,67.98461,6.82315,95.48535,67.98461,-40.84484,84.24723,58.32884,-74.44278,78.74287,56.48749,-91.54822,78.1262,58.33358,9.212692,116.5603,57.40072,-46.42624,120.3885,9.420096,-51.67712,78.14633,3.607045,-36.09563,70.38728,20.37674,-29.60476,77.31525,27.40472,16.78364,118.3916,47.86423,-29.24793,121.9685,-4.441362,-41.17584,75.29369,-6.012462,-24.90507,66.3708,15.53454,-15.89296,72.16402,24.53893,25.36119,117.2514,39.14329,-8.429084,120.136,-13.52232,-22.40959,77.73481,-15.24018,-9.511747,71.29407,8.414917,-2.033747,76.92561,17.7749,34.86438,109.1629,32.30056,10.87293,113.7973,-20.28476,-5.353339,82.56759,-23.70352,-1.831276,76.91456,-5.313715,3.031415,82.27995,4.017146,45.60133,12.82074,7.337289,0,112.8243,40.96893
12:05:16 PM1406,-12.05599,112.2662,12.57695,-0.1305642,-0.9839672,-0.1214968,28.28525,106.7914,49.1198,7.162876,96.20245,68.68452,7.162876,96.20245,68.68452,-40.15442,83.6695,58.89854,-73.4162,76.81351,55.87206,-90.91532,75.38001,57.44218,9.177323,117.1534,57.78119,-46.68342,119.3796,9.957483,-51.2633,76.97106,4.828185,-35.42841,69.81873,21.63023,-28.77397,76.5507,28.79033,16.68452,118.9636,48.19043,-29.58127,121.0276,-3.989938,-40.69123,74.13101,-4.733828,-24.15995,65.92336,16.89901,-15.19184,71.78354,25.86743,25.24867,117.8312,39.45531,-8.767641,119.3933,-13.12054,-21.80848,76.66298,-13.69129,-8.733845,70.74655,10.00366,-1.253222,76.58159,19.33847,34.85624,109.7947,32.69751,10.60968,113.2639,-19.86058,-5.061448,81.67658,-22.49308,-1.292758,76.53974,-4.001009,3.596703,81.81117,5.470285,44.66042,11.75672,7.420656,0,112.8243,40.96893
12:05:16 PM1515,-12.66544,110.9408,12.49518,-0.1570469,-0.9871381,-0.02991024,27.98298,107.7451,48.96795,6.847726,99.54067,69.63311,6.847726,99.54067,69.63311,-41.11621,87.94116,62.1046,-74.56005,81.70692,59.83432,-92.1127,80.08754,60.8924,9.255619,119.3532,56.84449,-47.13135,118.7001,9.594419,-52.7656,76.12186,8.538071,-36.74953,70.35745,25.69806,-29.579,77.08041,32.44443,16.68439,120.0849,47.05186,-30.17075,118.6207,-4.620427,-42.38089,72.14551,-0.8452496,-25.68889,65.7549,21.27185,-16.44592,71.92239,29.69879,25.10576,117.9371,38.36875,-9.52259,115.6131,-13.77764,-23.3338,73.31238,-9.75728,-10.17284,69.02321,14.23841,-2.331032,75.39915,23.09348,34.41977,109.0684,32.27346,9.605903,108.3861,-20.12969,-6.845513,77.09322,-19.51377,-2.903604,73.69671,-0.6598105,2.313445,79.45177,8.48335,44.68917,11.78053,7.475107,0,112.8243,40.96893
12:05:16 PM1607,-12.71165,110.677,12.03237,-0.1778741,-0.9839848,0.01161104,27.64595,108.2068,48.88247,6.220438,101.3502,69.73899,6.220438,101.3502,69.73899,-42.46128,92.05235,63.78855,-76.22485,87.49696,62.45465,-93.80261,85.8053,63.0354,9.124635,120.5361,56.12474,-46.98685,119.0272,8.567291,-53.4015,76.55615,9.478761,-37.44476,71.49883,26.91476,-29.99243,78.02502,33.62978,16.62432,120.6872,46.36003,-29.94915,117.9763,-5.516133,-43.16813,71.97539,0.1808612,-26.69979,66.29773,22.65722,-17.34425,72.52724,30.9628,25.04851,117.9892,37.8346,-9.316719,114.1418,-14.39564,-23.9342,72.3433,-8.438938,-11.01179,68.76441,15.8016,-3.039088,75.30257,24.52257,34.20676,108.6712,32.19028,9.690121,106.2459,-20.30101,-7.404061,75.35491,-18.35007,-3.608769,72.7617,0.6609159,1.72016,78.68371,9.730898,45.7219,12.63572,7.520968,0,112.8243,40.96893
12:05:16 PM1709,-13.53039,109.4176,10.8979,-0.1682243,-0.9831623,0.07136193,27.4446,109.4315,47.14454,6.428735,103.6085,68.71966,6.428735,103.6085,68.71966,-42.47126,94.55138,64.41553,-76.28986,90.23359,64.00355,-93.89473,88.26984,64.87624,8.926558,121.999,53.97407,-47.93597,117.2575,7.534255,-53.81937,74.85423,11.15645,-37.36739,71.22559,28.48774,-29.6823,77.94308,34.89336,16.26421,121.6496,44.09206,-31.12091,115.5405,-6.749877,-43.86142,69.83786,1.748769,-26.95633,65.62617,24.22338,-17.46552,72.34406,32.1051,24.57372,118.5357,35.59591,-10.60023,111.3768,-15.73939,-24.69726,69.86987,-7.09567,-11.36261,67.73377,17.09162,-3.249928,74.81511,25.39037,33.72758,108.986,30.34528,8.382561,103.3167,-21.49845,-8.358895,72.44317,-17.39741,-4.198551,71.04459,1.662548,1.268149,77.43656,10.43292,45.97788,12.84763,7.572188,0,112.8243,40.96893
12:05:16 PM1784,-14.03717,107.1882,10.74669,-0.1661915,-0.9808789,0.1012771,26.37458,108.5501,47.59509,5.047523,103.3659,69.02733,5.047523,103.3659,69.02733,-43.92227,94.74611,64.61996,-77.79239,90.86159,64.13439,-95.42347,89.00523,64.89069,7.7139,121.2683,53.72116,-48.41151,114.7863,6.599963,-54.20422,72.50639,11.56222,-37.95045,69.59011,29.21211,-30.30061,76.46786,35.59805,15.20392,120.6196,43.96943,-31.37316,112.6601,-7.360843,-44.11708,67.21797,2.431322,-27.52969,63.82561,25.27818,-18.15865,70.80381,33.12605,23.65308,117.2571,35.70898,-10.70342,108.277,-15.89295,-24.80336,67.0276,-6.097895,-11.86092,65.65069,18.35611,-3.842454,73.02084,26.63852,32.91687,107.5729,30.91777,8.391212,100.1008,-21.09131,-8.304004,69.31932,-16.18818,-4.418901,68.59341,2.967127,0.9156807,75.25103,11.68086,46.41441,13.20912,7.609459,0,112.8243,40.96893
