3:14:58 PM646,5.196762,113.7878,84.41613,-0.2607584,-0.8245809,-0.5020671,20.8237,86.82927,129.1506,-8.682772,80.29849,133.7645,-8.682772,80.29849,133.7645,-35.53315,85.95554,92.27186,-56.11347,90.75076,65.66451,-53.00657,87.86619,48.25981,2.646863,100.9988,132.6939,-21.44605,132.8607,71.21609,-33.43363,145.571,32.12915,-41.24707,134.9346,11.9798,-44.00861,123.9951,6.306733,13.98298,102.1202,128.1324,0.08200616,131.4467,66.64475,-6.130032,139.7199,19.73819,-15.39521,126.5299,-3.569196,-20.52069,114.7811,-9.218582,25.18804,100.0155,123.6709,21.76774,124.7122,66.44247,16.88615,131.3837,22.69133,7.995851,121.6646,-1.569966,1.940219,110.4292,-9.526638,34.8808,90.84736,118.8587,40.14593,113.8745,66.12225,42.19534,116.1993,31.02172,37.21758,109.9085,13.25782,28.93415,103.6701,4.777407,0.2133475,0,-143.7878,167.4313,-0.480186
3:14:58 PM1646,-2.219432,105.5494,73.80166,-0.1550705,-0.8413932,-0.5176975,12.84263,79.79802,119.4623,-16.22488,70.68198,122.1859,-16.22488,70.68198,122.1859,-41.53891,74.46163,79.50334,-62.3742,78.11591,52.89311,-57.86428,75.7998,35.20971,-6.703261,92.30945,121.8404,-29.551,122.301,58.92263,-40.21838,130.7915,18.31643,-46.3021,126.6101,-4.623138,-49.00273,118.739,-14.06412,4.763142,94.44449,118.0096,-7.724927,122.8009,55.73226,-12.63173,127.1249,8.123114,-17.92514,119.7572,-18.73758,-21.50016,110.8793,-28.53817,16.37568,93.3522,114.2701,14.44667,117.9875,56.91403,12.08988,123.4596,12.76828,6.542799,115.0618,-12.95186,2.097475,105.5001,-22.80337,27.12561,85.09013,110.0838,33.69585,108.7961,57.76686,39.08328,106.9318,22.9774,37.67654,100.2383,4.71593,33.07767,94.3513,-5.002925,0,0,-143.7878,167.4313,-1.328054
3:14:58 PM2089,-3.75291,106.5726,73.68976,-0.133821,-0.8590819,-0.4940346,12.15496,82.4814,119.9954,-16.65899,72.65565,123.0809,-16.65899,72.65565,123.0809,-42.16531,74.36388,80.35271,-63.37991,76.64016,53.86874,-59.42563,74.17991,36.15754,-7.724879,94.52541,122.1102,-31.58915,122.1742,58.46115,-42.27649,128.815,17.49615,-48.22626,125.2277,-5.590442,-51.11872,118.5854,-15.9507,3.672408,96.86562,118.1761,-9.784811,123.1775,55.17141,-14.84025,126.4323,7.470268,-19.46648,120.912,-19.96458,-22.65996,113.4287,-31.43583,15.30377,95.98583,114.4204,12.52326,118.9976,56.39726,9.846499,122.7668,12.071,4.972875,115.0994,-14.02471,0.9974994,106.1515,-24.46005,26.26571,87.90269,110.4162,32.02649,110.3528,57.42459,36.25747,105.9622,22.68582,35.64972,99.53755,4.274697,32.42552,94.18251,-5.875615,0,0,-143.7878,167.4313,-1.46469
3:14:58 PM2444,-7.736891,107.0906,71.38329,-0.1116221,-0.8736354,-0.473605,8.724899,84.5,118.2779,-19.84994,74.0239,121.5806,-19.84994,74.0239,121.5806,-45.24266,73.834,78.72425,-66.67079,74.85206,52.31377,-63.41219,72.28278,34.59373,-11.46305,96.09246,120.0961,-35.95163,121.6291,55.76602,-46.54745,126.7186,14.53522,-52.33308,123.3335,-8.635156,-55.2218,117.3118,-19.41336,-0.1183119,98.62582,116.1122,-14.16546,123.1027,52.46428,-19.13007,125.7186,4.691843,-23.42024,120.3876,-22.84847,-26.34251,113.2079,-34.8697,11.54125,97.94973,112.3833,8.249541,119.5135,53.80218,5.409671,121.8396,9.366186,1.227876,115.1374,-17.12588,-2.170459,107.0969,-28.3878,22.71264,90.04852,108.5764,27.97172,111.3848,55.04583,32.47564,106.5494,20.38391,32.40457,100.1943,1.929178,29.8453,94.37345,-8.649123,0,0,-143.7878,167.4313,-1.838102
3:14:58 PM2813,-10.42833,107.4705,62.91676,-0.07760639,-0.9004139,-0.4280562,5.420011,87.84208,111.4171,-22.99729,76.79163,114.6004,-22.99729,76.79163,114.6004,-45.93052,72.79272,70.48148,-66.49473,71.41784,43.34916,-70.06778,69.3933,27.03986,-15.12055,98.99355,112.1192,-38.63208,120.4184,45.83684,-47.80122,123.0209,3.974818,-52.76235,119.7763,-19.44054,-55.43498,114.4476,-30.75556,-3.729525,101.6121,108.2721,-16.7825,122.2905,42.98028,-20.07221,123.8971,-5.048223,-22.99325,119.4656,-32.96534,-25.26657,113.036,-45.7737,8.050678,101.0445,104.8618,5.705488,119.3675,45.0518,4.232256,120.6405,0.4448622,1.616124,115.2961,-26.59137,-0.8604658,108.2133,-38.91206,19.52579,93.23751,101.7542,25.61503,111.8305,47.21097,31.85546,107.2325,12.73634,32.88177,100.9154,-5.731772,31.3278,94.05099,-16.70694,0,0,-143.7878,167.4313,-2.135652
3:14:59 PM3129,-11.06901,107.936,58.3861,-0.06173837,-0.9025463,-0.4261437,4.296544,88.62418,107.1965,-24.05622,77.27208,110.009,-24.05622,77.27208,110.009,-45.6181,72.87822,65.21516,-65.26273,71.16368,37.40932,-71.02516,69.46159,21.83913,-16.38039,99.56022,107.5667,-39.17454,120.5302,40.85181,-47.39849,123.0739,-1.230009,-51.84558,120.5609,-24.84924,-54.37949,115.9486,-36.58603,-4.958688,102.2908,103.8732,-17.29736,122.6302,38.30213,-19.73586,124.8906,-9.773179,-21.94528,121.8092,-37.94956,-23.75641,116.4364,-51.29278,6.880322,101.8396,100.633,5.199026,119.9557,40.70734,4.440349,121.6531,-3.924052,2.534032,117.3421,-31.2161,0.5475585,111.1115,-44.06877,18.48772,94.14379,97.71507,25.16461,112.6378,43.17844,32.10407,109.0177,8.704103,33.72054,103.3851,-9.951872,32.82345,96.66677,-21.30106,0,0,-143.7878,167.4313,-2.206558
3:14:59 PM3525,-13.49792,108.4223,54.68203,-0.05652508,-0.9089324,-0.4130943,1.978398,89.90047,103.7757,-26.31486,78.42496,106.7526,-26.31486,78.42496,106.7526,-46.88572,73.34842,61.55493,-65.7908,71.14218,33.26646,-74.08959,69.64407,18.69154,-18.76543,100.724,103.9887,-41.68015,120.6035,36.96484,-49.4696,122.6042,-5.238074,-53.71222,120.5925,-28.94799,-56.25883,116.8147,-41.05509,-7.356944,103.4673,100.2553,-19.8106,122.7927,34.38424,-22.0495,125.5024,-13.68778,-24.09685,122.8378,-41.92491,-25.72308,118.1047,-55.59129,4.487181,103.0374,97.02099,2.705387,120.2819,36.82786,2.252939,122.4695,-7.795811,0.6887002,118.9417,-35.22767,-1.037376,113.5372,-48.55852,16.14126,95.36549,94.21349,22.71675,113.1136,39.40434,29.70439,110.2843,4.858164,31.59711,105.3372,-13.96974,31.3196,99.0626,-25.72821,0,0,-143.7878,167.4313,-2.440693
3:14:59 PM3850,-14.4562,108.3368,52.51712,-0.06056922,-0.9113504,-0.4071508,1.446483,90.10037,101.5814,-26.8242,78.65635,104.8771,-26.8242,78.65635,104.8771,-47.59109,73.31994,59.79914,-66.39404,70.88916,31.46102,-75.4126,69.44324,17.20013,-19.29004,100.935,101.9136,-42.78909,120.4257,34.97785,-50.85469,122.2629,-7.180623,-55.2583,120.1826,-30.85526,-57.91197,116.4847,-42.99488,-7.913899,103.6505,98.063,-20.94231,122.589,32.19069,-23.47201,125.6566,-15.84542,-25.71946,123.0627,-44.07393,-27.45017,118.3913,-57.80401,3.900934,103.1956,94.72654,1.593376,120.082,34.44976,0.9495833,122.8891,-10.1369,-0.7568743,119.6647,-37.59762,-2.553427,114.3601,-51.05019,15.52642,95.50155,91.86174,21.62373,112.9197,36.89163,28.361,110.4514,2.268099,30.12813,105.683,-16.61803,29.85523,99.4855,-28.47576,0,0,-143.7878,167.4313,-2.533067
3:14:59 PM4292,-13.21756,112.8493,45.97755,-0.08960115,-0.9227421,-0.3748583,2.792759,95.87519,95.45804,-25.72857,85.31338,99.46322,-25.72857,85.31338,99.46322,-46.14198,79.20016,54.32246,-62.79432,75.83553,24.76085,-73.96295,74.63605,11.2116,-17.64437,107.2677,95.6506,-41.432,125.0898,28.35271,-49.43333,126.9736,-13.81598,-53.90517,124.6264,-37.45284,-56.77066,120.7,-49.67914,-6.248043,109.544,91.5812,-19.57115,126.5695,25.2472,-22.12114,131.2558,-22.65701,-24.64836,128.9536,-50.88717,-26.59772,123.9908,-64.71564,5.509176,108.6586,88.12966,2.916154,123.5368,27.33751,2.217727,127.9729,-17.11583,0.2346679,125.4033,-44.62702,-1.696169,120.0637,-58.25626,16.89139,100.562,85.40058,22.77828,115.9265,29.7988,29.35799,114.6779,-4.920381,30.87497,110.344,-23.93254,30.46162,104.0181,-35.92601,0,0,-143.7878,167.4313,-2.477401
3:14:59 PM4526,-11.26483,117.0729,40.22483,-0.09582898,-0.9265118,-0.3638582,5.072894,100.5906,89.76452,-23.45357,90.17809,94.10962,-23.45357,90.17809,94.10962,-44.08875,83.75977,49.11227,-60.29908,80.02566,19.35003,-71.59624,78.70862,5.739588,-15.32136,112.0591,89.98996,-39.57298,129.22,22.68582,-47.64471,131.4507,-19.45251,-52.18219,129.1181,-43.07831,-55.1307,125.0263,-55.32167,-3.949304,114.2484,85.80659,-17.73205,130.5854,19.39338,-20.39344,136.0105,-28.42673,-23.0445,133.999,-56.66774,-25.12465,128.9737,-70.5228,7.777225,113.2819,82.27338,4.760022,127.4939,21.34159,3.838866,132.341,-23.06476,1.672891,129.9468,-50.57798,-0.3468284,124.6507,-64.23635,19.10873,105.114,79.54573,24.61361,119.839,23.73216,30.89103,118.9314,-11.05351,32.23169,114.7447,-30.11187,31.77641,108.449,-42.13807,0,0,-143.7878,167.4313,-2.261631
